"model_id","target_end_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"UMass-AR2",2024-11-30,1,307.211682889019,1,578.009356787991,0,1,1
"UMass-AR2",2024-12-07,1,1091.30946110642,1,1809.51351120712,0,1,2
"UMass-AR2",2024-12-14,1,2249.95217873923,1,3453.84819747369,0,0,3
"UMass-AR2",2024-12-21,1,6198.98499540662,1,8047.98036139917,0,0,4
"UMass-AR2",2024-12-28,1,14707.9906344225,1,17104.4416011532,0,0,4
"UMass-AR2",2025-01-04,1,17017.2736507111,1,19953.4481454019,0,0.25,4
"UMass-AR2",2025-01-11,1,10220.3681426574,1,14598.9063509833,0,0,4
"UMass-AR2",2025-01-18,1,9830.45652037872,1,15053.6655693148,0,0.5,4
"UMass-AR2",2025-01-25,1,10958.6238233252,1,15641.0658234316,0,0.666666666666667,3
"UMass-AR2",2025-02-01,1,16264.1900376785,1,18509.2185961245,0.333333333333333,0.333333333333333,3
"UMass-AR2",2025-02-08,1,17374.8349910423,1,21724.0935901871,0,0.333333333333333,3
"UMass-AR2",2025-02-15,1,3583.9197966934,1,6478.62702681212,0.333333333333333,1,3
"UMass-AR2",2025-02-22,1,4082.12517786464,1,6992.16502144173,0.5,1,4
"UMass-AR2",2025-03-01,1,4550.95836395757,1,8156.3936156969,0.25,1,4
"UMass-AR2",2025-03-08,1,2422.30762389173,1,3955.29291927917,0.5,1,4
"UMass-AR2",2025-03-15,1,1417.98333735907,1,1058.35996061027,0.75,1,4
"UMass-AR2",2025-03-22,1,1084.07201411552,1,1026.6578106803,1,1,4
"UMass-AR2",2025-03-29,1,897.87918649517,1,781.190827453535,0.75,1,4
"UMass-AR2",2025-04-05,1,708.389754013493,1,824.443560712973,1,1,4
"UMass-AR2",2025-04-12,1,613.755160030454,1,624.469267549189,0.75,1,4
"UMass-AR2",2025-04-19,1,541.651000003515,1,532.211012728137,0.75,1,4
"UMass-AR2",2025-04-26,1,546.527420562585,1,759.363078680086,0.5,1,4
"UMass-AR2",2025-05-03,1,376.369754423001,1,476.334272232979,1,1,4
"UMass-AR2",2025-05-10,1,335.399593551728,1,440.124810050428,0.75,1,4
"UMass-AR2",2025-05-17,1,223.576580109632,1,183.212311999424,1,1,3
"UMass-AR2",2025-05-24,1,303.858416617616,1,76.9292569751228,1,1,3
"UMass-AR2",2025-05-31,1,354.737416640375,1,143.583111613764,1,1,2
"UMass-AR2",2025-06-07,1,448.073256034573,1,389.053736130771,1,1,1
"UMass-AR4_pooled",2024-11-30,0.867336691386071,266.455964592109,0.854584510224703,493.957843075961,0,1,1
"UMass-AR4_pooled",2024-12-07,1.14845396089036,1253.31867316479,1.09692541038641,1984.90135088063,0,0.5,2
"UMass-AR4_pooled",2024-12-14,1.24178137498742,2793.94871017074,1.11787016188966,3860.95384365224,0,0,3
"UMass-AR4_pooled",2024-12-21,1.17206654317757,7265.62291477583,1.07861951670719,8680.70868788133,0,0,4
"UMass-AR4_pooled",2024-12-28,1.12190860446213,16501.021247107,1.06729985431089,18255.56802898,0,0,4
"UMass-AR4_pooled",2025-01-04,1.19937469132323,20410.0873319845,1.14091095805058,22765.107639983,0,0,4
"UMass-AR4_pooled",2025-01-11,0.969155915123613,9905.13024019733,0.857960136036985,12525.2796788809,0.25,0.25,4
"UMass-AR4_pooled",2025-01-18,0.687443832134725,6757.88670200294,0.628583825060101,9462.49068473546,0.25,0.5,4
"UMass-AR4_pooled",2025-01-25,0.526694026000726,5771.84170093464,0.560869247444853,8772.59281762352,0.333333333333333,0.666666666666667,3
"UMass-AR4_pooled",2025-02-01,0.924191608481424,15031.2279515697,1.01895830588829,18860.122024023,0,0.333333333333333,3
"UMass-AR4_pooled",2025-02-08,1.05377350961169,18309.1408474346,1.03527384519157,22490.3859044146,0,0.333333333333333,3
"UMass-AR4_pooled",2025-02-15,1.57055750294939,5628.75212666567,1.06798200055397,6919.05705293781,0.666666666666667,0.666666666666667,3
"UMass-AR4_pooled",2025-02-22,1.0029820658316,4094.29834387785,0.976307643673264,6826.50415625839,0.5,1,4
"UMass-AR4_pooled",2025-03-01,0.638540904775802,2905.97307131847,0.598884544802482,4884.73807776651,0.5,1,4
"UMass-AR4_pooled",2025-03-08,1.02293034326897,2477.8519692106,0.990316155886168,3916.99047922432,0.75,1,4
"UMass-AR4_pooled",2025-03-15,0.920502556177857,1305.25728665663,1.59268932391154,1685.63861011942,1,1,4
"UMass-AR4_pooled",2025-03-22,0.909030530244279,985.454557814411,1.17138988420182,1202.61657396769,1,1,4
"UMass-AR4_pooled",2025-03-29,1.01661456464919,912.797058286354,1.80707227190995,1411.66828336167,1,1,4
"UMass-AR4_pooled",2025-04-05,1.14724023858702,812.69323040704,1.55526076837272,1282.2247257144,0.75,1,4
"UMass-AR4_pooled",2025-04-12,1.12552447351308,690.796453359213,1.80289813866499,1125.85448011792,0.75,1,4
"UMass-AR4_pooled",2025-04-19,0.943151216164502,510.858799390034,1.42893762420561,760.496340103805,0.75,1,4
"UMass-AR4_pooled",2025-04-26,0.799070525613328,436.713953211041,0.7744651266442,588.100222898902,1,1,4
"UMass-AR4_pooled",2025-05-03,0.794653790551676,299.083652001241,0.528882392038183,251.924809308345,1,1,4
"UMass-AR4_pooled",2025-05-10,0.776894905967167,260.570235693795,0.135624944780301,59.6919030595297,1,1,4
"UMass-AR4_pooled",2025-05-17,0.908802250534829,203.186899170514,0.570841685830112,104.585225046584,1,1,3
"UMass-AR4_pooled",2025-05-24,0.950768073343112,288.898881336619,3.54089262409726,272.398238600495,1,1,3
"UMass-AR4_pooled",2025-05-31,0.861785149998328,305.707437809445,1.23368479655685,177.136301840226,1,1,2
"UMass-AR4_pooled",2025-06-07,0.950008914513072,425.673587587743,1.57311282881196,612.025423404541,1,1,1
"UMass-AR6_pooled",2024-11-30,4.47004697283806,1373.25065311855,0.362381736981127,209.460034704176,1,1,1
"UMass-AR6_pooled",2024-12-07,2.26852884065833,2475.6669866032,1.17931171032864,2133.98047376446,1,1,2
