"model_id","location","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"FluSight-baseline","01",1,1,70.2601007850187,0.499181780012972,1,1,94.14375,0.660936300921895,0.303125,0.815625,320
"FluSight-baseline","02",1,1,7.33505907470257,0.430870528384454,1,1,10.546875,0.653126221718477,0.471875,0.921875,320
"FluSight-baseline","04",1,1,170.129881371245,0.454522864953141,1,1,212.8375,0.541508192056926,0.346875,0.821875,320
"FluSight-baseline","05",1,1,44.6606072397895,0.50335393568123,1,1,62.703125,0.692017705592945,0.3375,0.859375,320
"FluSight-baseline","06",1,1,319.329290398721,0.424111351550255,1,1,435.596875,0.504158351028125,0.321875,0.8625,320
"FluSight-baseline","08",1,1,74.6838081339944,0.446219533688417,1,1,97.803125,0.593612443696814,0.31875,0.8375,320
"FluSight-baseline","09",1,1,64.1968792786372,0.552294664170495,1,1,82.55,0.739778410064499,0.340625,0.79375,320
"FluSight-baseline","10",1,1,20.2723177795476,0.502122614717245,1,1,26.4187498593736,0.72458661989431,0.359375,0.853125,320
"FluSight-baseline","11",1,1,17.0990812975446,0.55575589941625,1,1,22.38125,0.832491336702619,0.35,0.815625,320
"FluSight-baseline","12",1,1,297.321402465108,0.338167195353322,1,1,389.621875,0.410855998841975,0.225,0.725,320
"FluSight-baseline","13",1,1,151.00122561005,0.52545115900305,1,1,190.05,0.667880943374126,0.278125,0.74375,320
"FluSight-baseline","15",1,1,10.233304066793,0.374624928008764,1,1,14.371875,0.561261765113143,0.31875,0.8125,320
"FluSight-baseline","16",1,1,27.0600994113654,0.481904298450783,1,1,37.85,0.665782337211645,0.31875,0.9,320
"FluSight-baseline","17",1,1,180.235205055497,0.498863382868867,1,1,233.140625,0.644413502799814,0.24375,0.78125,320
"FluSight-baseline","18",1,1,125.78646756844,0.502133711836598,1,1,165.4875,0.651776272935736,0.271875,0.809375,320
"FluSight-baseline","19",1,1,42.5679537468763,0.541073510234258,1,1,57.00625,0.789714903617229,0.275,0.8375,320
"FluSight-baseline","20",1,1,41.2084253399442,0.510590198209391,1,1,55.459375,0.698946269972516,0.28125,0.828125,320
"FluSight-baseline","21",1,1,80.2020596154637,0.508923367792409,1,1,109.54375,0.676499102879535,0.328125,0.89375,320
"FluSight-baseline","22",1,1,66.2236781652861,0.401105771577313,1,1,88.596875,0.516816694164967,0.271875,0.796875,320
"FluSight-baseline","23",1,1,22.4819811830821,0.495765104445554,1,1,30.434375,0.734563762342993,0.315625,0.85,320
"FluSight-baseline","24",1,1,89.6062667365682,0.574183209054521,1,1,113.49375,0.757780731686219,0.309375,0.734375,320
"FluSight-baseline","25",1,1,142.137124798887,0.540979457159638,1,1,181.022082018927,0.678455744096801,0.318611987381703,0.769716088328076,320
"FluSight-baseline","26",1,1,155.458135509534,0.504289046290866,1,1,210.384375,0.652478425357789,0.26875,0.778125,320
"FluSight-baseline","27",1,1,102.656889819882,0.527075945107715,1,1,126.659305993691,0.712853670126961,0.264984227129338,0.782334384858044,320
"FluSight-baseline","28",1,1,42.3643846957118,0.441797558661719,1,1,58.08125,0.573209419190684,0.34375,0.834375,320
"FluSight-baseline","29",1,1,109.330359967786,0.503930372893241,1,1,145.1375,0.651165389543664,0.246875,0.859375,320
"FluSight-baseline","30",1,1,19.9277111050761,0.536396931755239,1,1,27.1374983437334,0.835864451584994,0.35625,0.790625,320
"FluSight-baseline","31",1,1,25.860010093845,0.519073793615114,1,1,34.809375,0.752757122888036,0.359375,0.846875,320
"FluSight-baseline","32",1,1,28.7497667770312,0.403132336017802,1,1,40.478125,0.55203333409971,0.45625,0.903125,320
"FluSight-baseline","33",1,1,26.102469232945,0.527188636281101,1,1,32.9156249062491,0.749848086343882,0.31875,0.790625,320
"FluSight-baseline","34",1,1,182.1216924548,0.536924458975029,1,1,233.040625,0.694508595341523,0.275,0.7375,320
"FluSight-baseline","35",1,1,37.6226419761848,0.464854747837333,1,1,51.2875,0.626460415827404,0.375,0.8375,320
"FluSight-baseline","36",1,1,345.580783004259,0.507325667387793,1,1,429.028125,0.614494720154175,0.3125,0.740625,320
"FluSight-baseline","37",1,1,235.650420258038,0.60896031746367,1,1,287.471875,0.781896661440654,0.278125,0.734375,320
"FluSight-baseline","38",1,1,13.0185066635897,0.466027773425233,1,1,17.68125,0.712417840069145,0.396875,0.815625,320
"FluSight-baseline","39",1,1,256.50686254183,0.592573932465321,1,1,323.115625,0.737337323370149,0.234375,0.753125,320
"FluSight-baseline","40",1,1,65.3671789926596,0.552521746640074,1,1,91.20625,0.726685370150424,0.34375,0.921875,320
"FluSight-baseline","41",1,1,53.774187239413,0.483182957837726,1,1,72.55,0.64573118683809,0.340625,0.871875,320
"FluSight-baseline","42",1,1,353.289797936791,0.440051357204427,1,1,440.028125,0.542005151525588,0.246875,0.753125,320
"FluSight-baseline","44",1,1,21.180334537299,0.513803369547949,1,1,26.2250005468805,0.719569084783319,0.3,0.78125,320
"FluSight-baseline","45",1,1,112.881892995759,0.565215769786975,1,1,140.715625,0.72478831071547,0.24375,0.74375,320
"FluSight-baseline","46",1,1,13.9278696841618,0.518018662087137,1,1,19.2437476640391,0.788555570145842,0.3875,0.85,320
"FluSight-baseline","47",1,1,98.3958324422571,0.430654028037536,1,1,132.06875,0.550592867407607,0.3,0.85625,320
"FluSight-baseline","48",1,1,326.398785185239,0.435777396301632,1,1,429.696875,0.528595472299709,0.3,0.8,320
"FluSight-baseline","49",1,1,29.0417576818634,0.482978454958083,1,1,37.121875,0.665883099658674,0.365625,0.821875,320
"FluSight-baseline","50",1,1,7.67888314080906,0.441143594130028,1,1,10.7375,0.705686429411665,0.34375,0.8875,320
"FluSight-baseline","51",1,1,114.005249805839,0.480709823179448,1,1,149.29375,0.589847646089721,0.26875,0.7875,320
"FluSight-baseline","53",1,1,51.500978479333,0.414464771430235,1,1,73.0625,0.563063706280173,0.3,0.93125,320
"FluSight-baseline","54",1,1,44.646409459258,0.563304605828506,1,1,60.065625,0.845753136532802,0.321875,0.8125,320
"FluSight-baseline","55",1,1,100.980605375319,0.552612435924815,1,1,128.275,0.784711987388458,0.259375,0.7875,320
"FluSight-baseline","56",1,1,10.8060719799597,0.491468711228202,1,1,15.365625,0.74855838464498,0.34375,0.9125,320
"UMass-AR2","01",0.844550142090487,0.814981703359285,57.0424990446406,0.365265396112043,0.913531393272753,0.919513619242385,82.1634410842592,0.560034259106254,0.408653846153846,0.879807692307692,208
"UMass-AR2","02",0.878528119943444,0.830946713562416,6.03453565243134,0.332381512745857,0.895731468812951,0.849375832145816,8.9576713553484,0.506318422403976,0.519230769230769,0.918269230769231,208
"UMass-AR2","04",0.839929508838191,0.723265481355839,186.219807970212,0.347846217289721,0.943101868915673,0.9057939272895,257.463550297793,0.503639121545756,0.490384615384615,0.846153846153846,208
"UMass-AR2","05",0.89287772220006,0.84661693879215,45.9313068538953,0.441465156481384,0.925940008715421,0.912165048681145,65.1327296656891,0.636639765316941,0.413461538461538,0.826923076923077,208
"UMass-AR2","06",0.711481424747492,0.649702064678809,284.336756036863,0.309262629126709,0.744520046888398,0.762107206588776,398.769164470433,0.428525331003763,0.495192307692308,0.846153846153846,208
"UMass-AR2","08",0.769166671804874,0.774400732433407,54.7069174112787,0.332491834532598,0.848392945977894,0.881840935584493,77.6031006637164,0.506298590331387,0.389423076923077,0.855769230769231,208
"UMass-AR2","09",0.743374470029502,0.791621043969736,35.6202284345343,0.386615927075815,0.846459671450929,0.878084553646594,54.627158216151,0.586412825097091,0.4375,0.923076923076923,208
"UMass-AR2","10",0.904852496841558,0.949718590455716,16.8131868288829,0.446286522742308,0.939087541119132,0.971760286223177,22.4799610716709,0.652896992513319,0.524038461538462,0.841346153846154,208
"UMass-AR2","11",0.809340588058767,0.898599698348853,16.8588412540547,0.49959659092055,0.87169725786573,0.932213409386622,23.0989870440015,0.749792572293324,0.408653846153846,0.798076923076923,208
"UMass-AR2","12",0.791242931731584,0.730533967181296,229.615214986788,0.241155881503243,0.887234417342312,0.880539109956962,332.320644850555,0.361010654525059,0.384615384615385,0.836538461538462,208
"UMass-AR2","13",0.861472285197143,0.833699937242784,126.67166125688,0.440153595526253,0.933849341086989,0.949408791909784,168.462839983962,0.631775521297313,0.408653846153846,0.740384615384615,208
"UMass-AR2","15",0.979701278264843,0.993710330697887,9.803467165546,0.323965691381424,0.998055508392868,1.02752005898839,13.836058304092,0.494466634332878,0.370192307692308,0.850961538461538,208
"UMass-AR2","16",0.878163319715593,0.882762273164037,26.2133780584052,0.475697410980691,0.912414829242332,0.951716979987185,37.1565900685259,0.693709789360559,0.471153846153846,0.870192307692308,208
"UMass-AR2","17",0.674928164097448,0.66798765229054,117.329979033359,0.32335181164272,0.726019663571778,0.710925264060199,159.343799934272,0.443855287620939,0.572115384615385,0.889423076923077,208
"UMass-AR2","18",0.722399695899928,0.655918184108571,104.932152085137,0.341389439262817,0.821706978521953,0.755734539279137,152.620678107041,0.51547500238797,0.418269230769231,0.870192307692308,208
"UMass-AR2","19",0.720343276181925,0.758242401374615,32.9297541248655,0.439863193546623,0.823090558669696,0.829141241364568,49.7541249724103,0.686704577268473,0.418269230769231,0.884615384615385,208
"UMass-AR2","20",0.788955943202667,0.761296272536109,35.7079034910843,0.420565864405161,0.849335722463324,0.837778128534381,50.4946010372311,0.624927330904566,0.389423076923077,0.846153846153846,208
"UMass-AR2","21",0.82347830138949,0.779316421867842,75.1700729335566,0.408085727813213,0.861097807274059,0.887474648036018,103.680715749889,0.608853713349448,0.471153846153846,0.899038461538462,208
"UMass-AR2","22",0.846563309030929,0.809188843674911,54.3184535240731,0.320641784674132,0.942987861561139,0.971005901232773,79.7968336996085,0.50305171365248,0.350961538461538,0.841346153846154,208
"UMass-AR2","23",0.791920935719377,0.851029151024635,17.9196979880529,0.443426795831251,0.894011168856996,0.902744742372741,26.6670798560669,0.690877104003491,0.461538461538462,0.899038461538462,208
"UMass-AR2","24",0.707810867394803,0.773834324211378,65.9873666591956,0.431557535502919,0.806580584858051,0.868658849515631,92.1608140426755,0.638264922326043,0.403846153846154,0.8125,208
"UMass-AR2","25",0.758844362504337,0.771643242452394,112.599543295605,0.397637607141192,0.861176403223267,0.898834905581465,159.908602969606,0.578837651007018,0.351219512195122,0.824390243902439,208
"UMass-AR2","26",0.819840840198396,0.727874178813081,140.633682869943,0.38454953158133,0.915090748779209,0.850181409713627,208.053300204616,0.581637665394876,0.355769230769231,0.8125,208
"UMass-AR2","27",0.68851562802858,0.741038217318582,65.8763744427182,0.395642220309297,0.811393432896389,0.829232503817528,92.8698476675777,0.590849276444892,0.531707317073171,0.897560975609756,208
"UMass-AR2","28",0.898066479073898,0.841157958284521,40.0605702061226,0.348325674145219,0.944977975947273,0.975662844804841,56.4163999005028,0.519213073803623,0.403846153846154,0.846153846153846,208
"UMass-AR2","29",0.894958271590042,0.780968768425767,106.121431751208,0.403211196236318,0.963293689537314,0.900089851921734,148.903318840369,0.597211283025224,0.365384615384615,0.855769230769231,208
"UMass-AR2","30",0.88715122749135,0.918083842856134,19.5452218043786,0.536174532416393,0.962180550429178,0.936686280257903,28.0633574267076,0.838522474679028,0.370192307692308,0.793269230769231,208
"UMass-AR2","31",0.744225098761637,0.816450623458176,21.7837100629911,0.459741500656359,0.834768643725069,0.879400230965589,31.6068718326288,0.687746686364473,0.432692307692308,0.870192307692308,208
"UMass-AR2","32",0.909752446353664,0.851291950903796,25.1098701020054,0.331909131147884,0.954386658125953,0.913619886396967,36.4397405263367,0.484204610470216,0.572115384615385,0.918269230769231,208
"UMass-AR2","33",0.96568128128103,0.863323912399077,24.8717884117889,0.474412116402364,1.10923714272509,0.932636428436166,35.3348243514916,0.71518530197369,0.447115384615385,0.850961538461538,208
"UMass-AR2","34",0.71219761241176,0.870408277081378,123.928400419565,0.472244572666263,0.792766286099823,0.970124152881738,174.114029818033,0.683655529606646,0.427884615384615,0.822115384615385,208
"UMass-AR2","35",0.89111814236471,0.845756263701912,29.9422996364961,0.367211200752478,0.969863852809419,0.940030193532822,44.6091704987048,0.554122687482819,0.480769230769231,0.884615384615385,208
"UMass-AR2","36",0.663374554617938,0.588660394966534,187.756752436662,0.279333549146894,0.744983406853162,0.68216476101749,267.488898177929,0.4099042981303,0.451923076923077,0.860576923076923,208
"UMass-AR2","37",0.748957816026411,0.723337928280056,151.424946355639,0.46319812506933,0.840088987241226,0.834964274349643,208.003678476251,0.692418087926874,0.423076923076923,0.793269230769231,208
"UMass-AR2","38",0.849904415733895,0.922916239168083,9.12911045409808,0.434733246670711,0.888094050467752,0.909769205823168,13.0921117886076,0.660103728205904,0.471153846153846,0.846153846153846,208
"UMass-AR2","39",0.806300534346654,0.786377637114033,225.778756291872,0.467247282793229,0.980410834560816,0.96448696644441,334.633527823549,0.709706398205149,0.288461538461538,0.8125,208
"UMass-AR2","40",0.809452842482415,0.765573579807202,65.3565015026216,0.4284930553581,0.840725726767459,0.863696617702703,93.7400721729539,0.629771675861698,0.442307692307692,0.899038461538462,208
"UMass-AR2","41",0.839859392224865,0.895879853379029,49.0468199508713,0.39308905159349,0.866201859475804,0.950554082618342,66.348444188572,0.535811694405436,0.572115384615385,0.865384615384615,208
"UMass-AR2","42",0.673658090498641,0.68785726301891,245.98122877095,0.315175197661241,0.797902472537846,0.819287984580762,344.751348541354,0.454659927630614,0.456730769230769,0.860576923076923,208
"UMass-AR2","44",0.86052013699709,0.901977105274893,13.8074997990344,0.443192836362792,0.968245465785064,0.977494306727591,19.4153539941169,0.680008209082915,0.408653846153846,0.822115384615385,208
"UMass-AR2","45",0.824444876691526,0.796252476206567,92.2127554401226,0.404098552807337,0.920121245282018,0.895039308762784,126.036898668957,0.580172172085497,0.4375,0.75,208
"UMass-AR2","46",0.825537008874544,0.831611607052051,12.9414731696061,0.479116888359793,0.880649562745286,0.839098191574879,19.091425844976,0.7360760811771,0.418269230769231,0.846153846153846,208
"UMass-AR2","47",0.848801936778282,0.734510211386039,85.6310271973292,0.337053738927063,0.906771921519123,0.844219040452531,119.963483351459,0.494979543985096,0.456730769230769,0.850961538461538,208
"UMass-AR2","48",0.759995089277777,0.680700878301177,290.279058512682,0.363167098943294,0.829865745043424,0.786665325837832,403.966111410957,0.493982283045232,0.447115384615385,0.793269230769231,208
"UMass-AR2","49",0.829691062927919,0.891287904821174,24.6112273315071,0.394024733852558,0.898656847286888,0.947698501519203,32.2522371251939,0.564793951197419,0.509615384615385,0.855769230769231,208
"UMass-AR2","50",0.912120269729167,0.946490791343338,7.74537879215407,0.430718883861892,0.982138865512205,0.948988159147551,11.5063658958602,0.686901560275896,0.418269230769231,0.884615384615385,208
"UMass-AR2","51",0.77763016834266,0.737948023600946,88.9023671401557,0.336552385522269,0.851258193773964,0.882588693080034,123.79978980934,0.495234984928019,0.447115384615385,0.8125,208
"UMass-AR2","53",0.74372813442333,0.729234314314008,45.6390587604035,0.33424992174613,0.759651388841892,0.769019558845313,64.1824897483924,0.464878921382527,0.615384615384615,0.923076923076923,208
"UMass-AR2","54",0.730764964877207,0.788000185782473,39.8252825889745,0.482730238560552,0.823341293336418,0.819990255749269,58.5854418350287,0.734436945126573,0.432692307692308,0.855769230769231,208
"UMass-AR2","55",0.619472108515939,0.662120241099502,57.3682124222846,0.381066987942893,0.711280878104343,0.728364565704987,83.3521552662762,0.587801135523695,0.466346153846154,0.903846153846154,208
"UMass-AR2","56",0.914182552771061,0.915790599670441,11.5814576600706,0.461042175297508,0.941799795961255,0.925938782065213,16.5966819164495,0.697336307018042,0.418269230769231,0.841346153846154,208
"UMass-AR6_fourierP_thetaP","01",0.733790773031633,0.694806521070022,49.6693605018855,0.312447742691321,0.800962829196823,0.801275464747083,72.2457531370339,0.489402603270691,0.394230769230769,0.870192307692308,208
